,0
aldrig,pren
avsaknad av,pren
brist på,pren
bristande,pren
dementerar,pren
ej,pren
fri från,pren
frånvaro av,pren
förnekar,pren
förnekas,post
försumbar,pseu
har inte,pren
icke,pren
inga,pren
inga tecken,pren
ingen,pren
ingen förändring,pseu
ingen tydlig,pseu
ingen ändring,pseu
ingenting tyder,pseu
inget,pren
inget avvikande,post
inget som,pren
inget tyder,pseu
inget tydligt,pseu
inte,pren
inte bara,pseu
inte en gnutta,pren
inte fastställd,pseu
inte fastställt,pseu
inte har,pren
inte kan,pren
inte kunna,pren
inte kunnat,pren
inte nödvändigtvis,pseu
inte orsaka,pseu
inte utesluta,pseu
inte vet,pseu
inte visar,pren
kan inte,pren
kan inte uteslutas,pseu
kunde inte,pren
känner sig inte,pren
låg sannolikhet för,pseu
negativt,post
negerad,post
negligerbar,pren
nekar till,pren
obefintlig,pren
obetydlig,pren
oförmögen att,pren
osannolikt,post
oväsentlig,pren
patienten inte,pren
saknar,pren
saknas,pren
tvivelaktig,pseu
utan,pren
utan anmärkning,post
utan antydan till,pren
utan några,pren
utan skymt av,pren
utan spår av,pren
utan tecken,pren
utan tillstymmelse till,pren
utesluta,pren
uteslutas,pren
uteslutet,post
utläkt,pren
vet inte,pseu
