ab – antibiotika
AF – andningsfrekvens
AT – allmäntillstånd
AT – allmäntjänstgöring
avd – avdelning
bed – bedömning
bltr – blodtryck
BT– blodtryck
DM – diabetes mellitus
dsk – distriktssköterska
EDA – epiduralanestesi (ryggbedövning)
enl – enligt
FF – förmaksflimmer (oregelbunden hjärtaktivitet)
GCS – Glasgow Coma Scale (gradering av medvetandegrad)
ger – geriatrik
HF – hjärtfrekvens
ht – hemtjänst
HT – hypertoni (högt blodtryck)
hv – huvudvärk
hö – höger
IBD – inflammatorisk tarmsjukdom (t.ex. Crohns sjukdom eller ulcerös kolit)
inf – infektion
inf – inferior (under)
intox – intoxikation (förgiftning)
KAD – kvarliggande urinkateter
lat – laterala (på yttre sidan)
lgll – lymfkörtlar
lm – läkemedel
med – mediala (på inre sidan)
MoS – mun och svalg
MR – magnetresonansundersökning (magnetkamera)
obs – observation
op – operation
OR – oregelbunden rytm
pal – patientansvarig läkare
palp – palpation
pas – patientansvarig sjuksköterska
pat – patient
pbd – preliminär bedömning
pulm – lungor
pv – primärvård
pvk – perifer venkateter (en sorts infart/slang som sitter i en ven, här förs läkemedel och vätska in i blodet)
RR – regelbunden rytm
rtg – röntgen
sat – saturation av syre i blodet
sksk – skelettskada
ssk – sjuksköterska
STEMI – ST-höjningsinfarkt (en slags hjärtinfarkt)
temp – temperatur
ua – utan anmärkning
UL – ultraljud
ul – underläkare
us – undersökning
us – utskrivningssamtal
uska – undersköterska
vc – vårdcentral
vä – vänster
X:a – extrauterin graviditet
åb – återbesök
öl – överläkare
