Type,Collection,Document,Layer,Feature,Position,Annotator,admin,annotator1,curator1
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,14-20 [Dyspné],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,70-73 [DM2],SYM,null,DIS,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,92-101 [hypertoni],SYM,null,DIS,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,201-207 [andnöd],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,231-236 [hosta],SYM,null,null,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,253-255 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,264-269 [feber],SYM,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,275-277 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,302-312 [nedsatt AT],SYM,null,null,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,391-402 [destruering],SYM,null,null,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,404-408 [Inte],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,420-426 [utslag],SYM,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,428-430 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,471-473 [Ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,494-499 [Ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,500-506 [smärta],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,520-529 [buksmärta],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,536-547 [ÖNH symptom],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,565-567 [ej],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,613-617 [Inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,618-628 [kräkningar],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,635-645 [GI symptom],SYM,null,SYM,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,684-689 [ingen],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,690-703 [samtalsdyspné],FND,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,742-746 [inga],NEG,null,NEG,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,747-772 [hörbara bi eller blåsljud],null,null,FND,null
SpanPosition,CovidQ,chart1.txt,de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity,value,764-772 [blåsljud],FND,null,null,null
